STATE,POSTCODE,FIPS,STEMERG,STEMERGEND,CLSCHOOL,CLDAYCR,OPNCLDCR,CLNURSHM,STAYHOME,STAYHOMENOGP,END_STHM,CLBSNS,CURFEW,END_BSNS,RELIGEX,FM_ALL,FM_ALL2,FMFINE,FMCITE,FMNOENF,FM_EMP,FM_END,FM_STP,ALCOPEN,ALCREST,ALCDELIV,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,CLOSEBAR,END_BRS,END_HAIR,END_RELG,ENDRETL,CURFEWEND,BCLBAR2,CLBAR2,CLMV2,CLHAIR2,CLGYM2,CLRST2,ENDREST2,END_BRS2,END_CLGYM2,END_CLMV2,CLBAR3,CLRST3,END_CLRST3,QRSOMEST,QR_ALLST,QR_END,VAC_PLAN,VAC_HCW,VAC_HCS,VAC_HHC,VAC_AHC,VAC_LTC,VAC_EMS,VAC_FF,VAC_LAW,VAC_CORR,VAC_INC,VAC_SHELTER,VAC_75,VAC_65,VAC_HR,VAC_K12,VAC_HIGHED,VAC_PT,VAC_FOOD,VAC_GROCERY,VAC_ESSWORK,VAC_ADDWORK,VAC_PUB,AGEPRIORITY,PROOFWORK,PROOFAGE,PROOFRES,PENALTY,EXPANDADMIN,EMSTART,EMEND,EMSTART2,EMEND2,EMSTART3,EMEND3,FREEZEINIT,LIFTINIT,FREEZEINIT2,LIFTINIT2,COURTCLOSE,COURTOPEN,COURTCLOSE2,COURTOPEN2,FREEZEENF,LIFTENF,FREEZEENF2,LIFTENF2,C19START,C19END,C19START2,C19END2,CARESSTART,CARESEND,CDCSTART,CDCEND,SMSTART,SMEND,SMSTART2,URSTART,UREND,SNAPALLO,SNAPEBT20,SNAPEBT21,SNAPSUSP,SNAPTLW,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,CHIPLKOT,LKOTSUS,TEST,CASE,HOSP,DEATH,VACCINE,TESTAIAN,CASEAIAN,HOSPAIAN,DEATHAIAN,VACCINEAIAN,VISITPER,VISITATT,VISITRES,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,ELECNOSTART,ELECPRCR2,ENDELECP2,WTPRD,WV_WTPRD,REI_WTPRD,WV_WKSR,REI_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,EBSTART,EBEND,TUR,TURPRIOR,TURPRIOR2,20EBSTART,20EBEND,UIMINBP,UIQTRNEED,UIOUTHQBP,UIREQBPL2Q,UIBPEARN300,UITAXWA,UIMINTAXR,UIMAXTAXR,UIAVGBFTAUG,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,MH19,CASSTATE,AIANRESN,VBMEXC,VBMSIG,VBMPERM,VBMAUTOBAL,VBMAUTOAP,VBMGENELEC,CASCLOSE,CASOPEN,CASCLOSE2,CASOPEN2,CASTRIBCAS,MINWAGE2019,MINWAGEJAN2020,MINWAGEJUL2020,MINWAGESEP2020,MINWAGEOCT2020,TIPMINWAGE2020,MINWAGE2021,SMALLBUSMINWAGE
Oregon,OR,41,3/8/2020,0,3/16/2020,3/25/2020,5/16/2020,3/16/2020,3/23/2020,0,6/19/2020,3/23/2020,0,5/15/2020,0,7/1/2020,0,0,0,1,5/9/2020,0,0,1,3/19/2020,3/19/2020,1,3/18/2020,6/19/2020,0,3/24/2020,6/19/2020,3/24/2020,1/29/2021,3/17/2020,6/19/2020,6/19/2020,5/15/2020,5/15/2020,0,11/18/2020,11/18/2020,0,0,11/18/2020,11/18/2020,0,0,0,0,0,0,0,0,0,0,2/26/2021,1A,1A,1A,1A,1A,1A,1B,1B,1A,2,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,2,2,0,0,0,0,0,0,3/19/2020,7/2/2020,10/1/2020,3/4/2021,0,0,4/1/2020,7/1/2020,10/1/2020,3/4/2021,3/19/2020,7/2/2020,0,0,3/22/2020,6/21/2020,0,0,12/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,4/6/2020,4/29/2020,0,4/13/2020,1,3/25/2020,0,0,3/13/2020,3/13/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/13/2020,3/13/2020,0,1,0,0,0,3/23/2020,5/1/2020,0,0,0,0,11/20/2020,1/3/2021,1,1,1,0,1,0,648,1248,26,39,5/10/2020,2/20/2021,-,-,-,7/5/2020,12/12/2020,1000,2,333,0,24000,42100,0.7,5.4,$362.93 ,0,0,0,0,0,0,0,1,1,42.6,4190713,98379,"15,876",5,12.6,39.8,"36,187",522.3,1,1,0,0,1,0,0,0,0,0,0,0,0,$11.25 ,$11.25 ,$12.00 ,$12.00 ,$12.00 ,$11.50 ,$12.00 ,0
Pennsylvania,PA,42,3/6/2020,0,3/16/2020,3/17/2020,6/5/2020,3/17/2020,4/1/2020,0,6/5/2020,3/21/2020,0,6/5/2020,1,7/1/2020,0,0,1,0,4/19/2020,0,0,1,3/18/2020,0,1,3/18/2020,6/5/2020,1,3/21/2020,7/3/2020,3/21/2020,7/3/2020,3/18/2020,6/5/2020,7/3/2020,0,6/5/2020,0,7/16/2020,7/16/2020,12/12/2020,0,12/12/2020,12/12/2020,1/4/2021,0,1/4/2021,1/4/2021,0,0,0,0,11/20/2020,0,1/19/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1A,1A,1A,1B,1B,1B,1B,1B,1B,1C,2,1,0,0,0,0,1,3/19/2020,9/1/2020,0,0,0,0,5/11/2020,9/1/2020,0,0,3/19/2020,5/11/2020,0,0,3/19/2020,5/11/2020,0,0,0,0,0,0,3/27/2020,8/25/2020,0,0,3/13/2020,11/9/2020,0,0,0,4/2/2020,5/6/2020,3/10/2021,4/10/2020,1,3/27/2020,0,0,3/15/2020,3/20/2020,1,1,0,1,0,1,1,0,0,0,0,1,3/13/2020,0,0,0,1,0,0,3/21/2020,4/27/2020,0,0,0,0,3/27/2020,0,1,1,1,0,0,0,572,1172,26,39,5/3/2020,0,-,-,-,0,0,2718,2,1006,0,12068.35,10000,1.29,9.93,$329.27 ,1,3/25/2020,3/18/2020,0,10/24/2019,0,0,0,1,278.09,12807060,46054,"13,199",4.9,12.2,39.8,"134,702",206.2,1,0,0,0,0,0,0,10/27/2020,3/17/2020,6/9/2020,12/12/2020,1/4/2021,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.83 ,$7.25 ,0
Rhode Island,RI,44,3/9/2020,0,0,3/16/2020,6/1/2020,3/13/2020,3/28/2020,0,5/9/2020,3/30/2020,11/8/2020,5/9/2020,0,4/18/2020,0,0,0,1,4/18/2020,0,0,1,5/8/2020,0,1,3/18/2020,5/18/2020,1,3/23/2020,6/1/2020,3/23/2020,6/30/2020,3/17/2020,6/1/2020,6/1/2020,5/30/2020,5/9/2020,1/29/2021,11/30/2020,0,11/30/2020,0,11/30/2020,0,0,0,12/21/2020,12/21/2020,0,0,0,3/26/2020,3/28/2020,0,1/28/2021,1A,1A,1A,1D,1A,1A,1C,1C,1C,^,^,1E,^,^,^,^,^,^,^,^,^,^,1,0,0,0,0,0,3/17/2020,6/2/2020,0,0,0,0,4/8/2020,6/2/2020,0,0,3/17/2020,7/2/2020,0,0,0,0,0,0,0,0,0,0,6/2/2020,7/29/2020,9/4/2020,0,3/17/2020,10/1/2020,0,0,0,3/25/2020,4/10/2020,12/28/2020,4/13/2020,1,3/25/2020,3/14/2020,0,3/18/2020,3/18/2020,0,0,1,1,1,1,1,1,1,1,1,1,3/11/2020,0,0,0,0,1,0,0,0,0,0,0,0,3/12/2020,0,1,1,1,1,1,0,732,1332,26,39,4/26/2020,0,-,-,-,6/7/2020,2/20/2021,4200,2,1400,0,15584.42,24000,0.9,9.4,$311.44 ,0,4/13/2020,0,4/13/2020,0,0,0,1,1,684.35,1057315,1545,"1,055",5.5,12.9,38.3,"10,083",409.5,1,1,0,0,0,0,2,10/13/2020,3/22/2020,6/8/2020,11/30/2020,12/21/2020,0,$10.50 ,$10.50 ,$10.50 ,$10.50 ,$11.50 ,$3.89 ,$11.50 ,0
South Carolina,SC,45,3/13/2020,0,3/16/2020,0,0,3/15/2020,4/7/2020,0,5/4/2020,4/1/2020,0,4/20/2020,1,0,0,1,1,0,8/3/2020,0,0,1,3/21/2020,0,1,3/19/2020,5/4/2020,1,4/1/2020,5/18/2020,4/1/2020,8/3/2020,3/18/2020,5/4/2020,5/18/2020,0,4/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/27/2020,0,5/4/2020,3/2/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1A,1A,1B,1B,1B,1B,1B,1B,1B,1C,2,1,0,0,0,0,1,3/17/2020,5/15/2020,0,0,0,0,3/18/2020,5/15/2020,0,0,3/18/2020,5/15/2020,0,0,3/17/2020,5/15/2020,0,0,0,0,0,0,5/15/2020,1/31/2021,0,0,3/18/2020,5/14/2020,0,3/18/2020,5/14/2020,3/24/2020,6/17/2020,2/5/2021,4/10/2020,0,3/30/2020,0,0,3/19/2020,3/15/2020,0,0,0,1,1,1,1,0,0,0,0,0,3/12/2020,0,0,0,1,0,0,0,0,0,0,0,0,3/19/2020,0,1,1,0,0,0,0,326,926,20,33,5/24/2020,12/12/2020,5.3,221,161,7/5/2020,10/10/2020,4455,2,1485,0,11700,14000,0,5.4,$227.42 ,0,0,0,0,0,0,0,0,0,158.78,5084127,32020,"4,172",5.3,15.3,41.4,"50,640",174.1,1,1,0,1,0,0,0,10/30/2020,4/1/2020,5/22/2020,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
South Dakota,SD,46,3/13/2020,0,3/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2021,1A,1A,1C,1C,1B,1C,1E,1C,1C,2,2,1D,1D,1D,1D,1D,1E,1E,1E,1E,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/9/2020,6/22/2020,0,0,1,3/24/2020,0,0,4/15/2020,3/23/2020,0,0,0,1,1,1,0,0,1,1,1,0,3/12/2020,0,0,0,1,0,0,4/6/2020,4/28/2020,0,0,0,0,3/28/2020,1,1,2,1,0,0,0,414,1014,26,39,0,0,-,-,-,0,0,1288,2,560,0,13800,15000,0,9.3,$292.32 ,0,0,0,0,0,0,0,0,0,11.44,882235,77116,995,3,13.1,35.3,"7,971",179,1,1,0,0,0,0,1,0,0,0,0,0,1,$9.30 ,$9.30 ,$9.30 ,$9.30 ,$9.30 ,$4.65 ,$9.45 ,0
Tennessee,TN,47,3/12/2020,0,3/20/2020,0,0,3/23/2020,4/2/2020,0,4/29/2020,4/1/2020,0,4/27/2020,1,0,0,0,0,0,0,0,0,1,3/23/2020,3/23/2020,1,3/24/2020,4/27/2020,0,3/23/2020,5/1/2020,3/23/2020,5/22/2020,3/23/2020,5/22/2020,5/6/2020,0,4/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/16/2021,1A,1A,1A,1A,1A,1A,1A,1A,2A,3,3,1A,1B,1C,1B,3,2A,2A,3,2B,^,^,1,0,0,0,0,1,3/13/2020,6/1/2020,0,0,0,0,0,0,0,0,3/13/2020,6/1/2020,0,0,0,0,0,0,0,0,0,0,5/26/2020,1/31/2021,0,0,3/27/2020,8/29/2020,0,3/27/2020,8/29/2020,3/24/2020,5/19/2020,1/26/2021,0,1,3/30/2020,0,0,3/19/2020,3/13/2020,0,0,0,1,0,1,1,0,1,0,1,0,3/12/2020,0,0,0,0,1,0,3/24/2020,5/1/2020,0,0,0,0,3/19/2020,0,1,1,1,0,1,0,275,875,26,39,5/31/2020,11/7/2020,8.2,241,234,0,0,1680,2,900,0,Max Benefit < $300,7000,0.01,10,$206.12 ,1,0,0,0,0,0,0,0,0,160.64,6770010,42144,7467,5.5,15.3,41.6,"71,078",153,0,0,1,0,0,0,0,10/27/2020,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
Texas,TX,48,3/13/2020,0,3/21/2020,0,0,3/21/2020,0,4/2/2020,5/1/2020,4/2/2020,0,5/1/2020,1,7/3/2020,0,1,0,0,5/8/2020,3/10/2021,4/27/2020,1,3/19/2020,3/19/2020,1,3/21/2020,5/1/2020,0,3/21/2020,5/18/2020,4/2/2020,5/1/2020,3/21/2020,5/29/2020,5/8/2020,0,5/1/2020,0,6/26/2020,6/26/2020,0,0,0,0,0,10/14/2020,0,0,0,0,0,3/26/2020,0,0,12/17/2020,1A,1A,1A,1A,1A,1A,^,^,^,^,^,1B,1B,1B,^,^,^,^,^,^,^,^,1,0,0,0,0,0,3/19/2020,5/28/2020,0,0,0,0,0,0,0,0,3/19/2020,5/19/2020,0,0,3/19/2020,5/28/2020,0,0,0,0,0,0,3/27/2020,7/26/2020,9/17/2020,1/31/2021,0,0,0,0,0,4/6/2020,5/8/2020,3/22/2021,4/10/2020,0,3/30/2020,0,0,3/17/2020,3/17/2020,0,0,0,1,0,1,1,0,0,0,0,0,3/13/2020,3/13/2020,0,0,1,0,0,3/22/2020,5/8/2020,0,0,0,0,3/17/2020,0,1,1,1,1,1,0,521,1121,26,39,5/31/2020,12/26/2020,7.8,223,211,7/5/2020,10/10/2020,2553,2,1,0,11100,9000,0,6,$360.39 ,1,0,0,0,0,0,0,0,0,106.86,28701845,268596,"25,848",4.9,14.9,34.8,"202,211",111.8,1,1,1,0,0,0,0,10/23/2020,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
Utah,UT,49,3/6/2020,0,3/16/2020,0,0,0,0,0,0,3/27/2020,0,5/1/2020,0,4/10/2020,11/9/2020,0,0,1,4/10/2020,5/1/2020,0,1,0,0,1,3/20/2020,5/1/2020,0,3/27/2020,5/1/2020,3/27/2020,5/1/2020,3/19/2020,5/1/2020,5/1/2020,5/6/2020,5/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/10/2020,5/1/2020,1/25/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,^,^,1B,^,^,1B,^,^,^,^,^,^,^,1,0,0,0,1,0,4/1/2020,5/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,4/1/2020,5/16/2020,0,0,4/1/2020,5/16/2020,0,0,10/2/2020,1/31/2021,10/2/2020,1/31/2021,0,0,0,0,0,4/15/2020,7/9/2020,0,0,1,4/10/2020,0,0,3/25/2020,3/20/2020,1,1,1,1,1,1,1,1,1,1,1,1,3/12/2020,0,0,0,1,0,0,3/25/2020,4/22/2020,0,0,0,0,4/26/2020,0,0,0,1,0,0,0,580,1180,26,39,6/28/2020,9/26/2020,4.6,177,148,0,0,3900,2,1300,0,11895,36600,0,7,$364.35 ,0,0,0,0,0,0,0,0,1,37.23,3161105,84897,"2,798",3.2,9,30,"18,354",335.5,0,1,0,0,1,0,0,0,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
Vermont,VT,50,3/13/2020,0,3/18/2020,3/18/2020,6/1/2020,3/13/2020,3/24/2020,0,5/15/2020,3/25/2020,11/14/2020,4/27/2020,0,8/1/2020,0,0,0,1,4/17/2020,0,0,1,3/20/2020,3/20/2020,1,3/18/2020,5/22/2020,1,3/23/2020,6/1/2020,3/25/2020,6/1/2020,3/17/2020,5/22/2020,5/29/2020,5/23/2020,4/27/2020,4/15/2021,11/15/2020,11/15/2020,0,0,0,0,0,3/24/2021,0,0,0,0,0,6/8/2020,3/30/2020,0,3/2/2021,1A,1A,1A,1A,1A,1A,1A,1A,1C,^,^,1B,1B,1C,1C,^,^,^,^,^,^,^,1,0,0,0,0,0,3/17/2020,1/31/2021,0,0,0,0,5/14/2020,1/31/2021,0,0,3/17/2020,1/31/2021,0,0,5/14/2020,1/31/2021,0,0,0,0,0,0,3/27/2020,1/31/2021,0,0,3/18/2020,10/15/2020,12/22/2020,0,0,3/27/2020,5/4/2020,1/15/2021,0,1,3/30/2020,3/20/2020,0,3/20/2020,3/30/2020,0,0,0,1,0,1,1,0,1,0,1,1,3/13/2020,0,0,1,0,0,0,3/20/2020,5/4/2020,0,0,0,0,4/15/2020,0,1,1,1,0,1,0,513,1113,26,39,5/3/2020,12/19/2020,3.5,146,146,7/5/2020,10/10/2020,4019,2,1148,0,13500,16100,0.8,6.5,$336.46 ,0,0,0,0,0,0,0,1,1,65.13,626299,9616,"1,089",3.8,11,39.1,"6,027",452.3,0,0,0,0,0,2,2,0,0,0,0,0,0,$10.96 ,$10.96 ,$10.96 ,$10.96 ,$10.96 ,$5.46 ,$11.75 ,1
Virginia,VA,51,3/12/2020,0,3/16/2020,0,0,0,3/30/2020,0,5/29/2020,3/25/2020,12/14/2020,5/29/2020,0,5/29/2020,0,0,1,0,5/29/2020,0,0,1,3/16/2020,3/19/2020,1,3/26/2020,5/29/2020,1,3/25/2020,6/12/2020,3/25/2020,7/1/2020,3/25/2020,5/29/2020,5/29/2020,5/29/2020,5/29/2020,2/28/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,1B,1B,1C,1B,1B,1B,1B,1C,2,0,0,0,0,0,1,3/16/2020,5/18/2020,6/8/2020,6/29/2020,8/10/2020,9/8/2020,0,0,0,0,3/16/2020,5/18/2020,6/8/2020,6/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,3/16/2020,10/6/2020,0,0,0,3/24/2020,4/25/2020,3/2/2021,4/13/2020,1,3/23/2020,0,0,3/19/2020,3/19/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/13/2020,3/13/2020,0,1,0,0,0,3/25/2020,5/1/2020,0,0,0,0,3/17/2020,0,1,1,1,0,0,0,378,978,26,39,5/31/2020,11/21/2020,5.9,219,203,0,0,3000,1,0,0,15000,8000,0.1,6.2,$268.11 ,0,0,0,0,0,0,0,0,1,199.13,8517685,42775,"5,783",4.2,10.7,35.9,"69,359",171.9,0,1,0,0,0,0,0,10/23/2020,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,1
Washington,WA,53,2/29/2020,0,3/17/2020,0,0,3/16/2020,3/23/2020,0,6/1/2020,3/25/2020,0,6/1/2020,0,6/26/2020,0,1,1,0,5/4/2020,0,0,1,3/24/2020,3/24/2020,0,3/16/2020,7/3/2020,0,3/16/2020,8/27/2020,3/16/2020,0,3/17/2020,7/3/2020,7/3/2020,6/1/2020,7/3/2020,0,11/18/2020,11/18/2020,0,0,11/16/2020,11/18/2020,0,0,0,0,0,0,0,0,0,0,1/18/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,2,1B,2,1B,1B,1B,2,3,4,0,0,0,1,1,0,3/18/2020,0,0,0,0,0,3/18/2020,0,0,0,0,0,0,0,3/18/2020,0,0,0,0,0,0,0,0,0,0,0,3/23/2020,0,0,3/23/2020,0,3/27/2020,5/22/2020,2/23/2021,0,1,3/19/2020,3/10/2020,0,3/25/2020,3/25/2020,1,0,0,1,1,1,1,0,1,1,1,1,3/13/2020,0,0,0,1,0,0,3/19/2020,5/18/2020,0,0,0,0,3/18/2020,1/3/2021,1,1,1,0,0,0,790,1390,26,39,5/3/2020,0,-,-,-,6/7/2020,12/12/2020,.,2,1,0,15584.42,52700,0,5.4,$402.28 ,0,0,0,0,0,0,0,1,1,105.69,7535591,71298,21577,4.3,10.3,35,56877,373.3,1,1,0,0,1,0,0,0,0,0,0,0,0,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.69 ,0
West Virginia,WV,54,3/16/2020,0,3/16/2020,3/26/2020,4/30/2020,8/13/2020,3/24/2020,0,5/5/2020,3/24/2020,0,5/4/2020,1,7/7/2020,0,0,0,1,5/4/2020,0,0,1,3/18/2020,3/18/2020,1,3/19/2020,5/4/2020,1,3/19/2020,5/18/2020,3/24/2020,6/5/2020,3/18/2020,5/26/2020,5/4/2020,0,5/21/2020,0,7/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,3/31/2020,0,5/21/2020,2/17/2021,1A,1A,1C,1C,1A,1B,1B,1B,1B,2,2,1B,1B,2,1D,1D,1D,1D,1D,1D,2,2,1,0,0,0,0,0,3/23/2020,5/18/2020,0,0,0,0,0,0,0,0,3/23/2020,5/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/27/2020,4/30/2020,2/4/2021,0,1,3/30/2020,0,0,3/16/2020,3/17/2020,0,0,0,1,0,0,1,0,0,0,0,0,3/11/2020,0,0,0,0,1,0,4/1/2020,4/27/2020,0,0,0,0,3/19/2020,0,1,1,1,0,0,0,424,1024,26,39,5/3/2020,12/12/2020,8,160,157,0,0,2200,2,1,0,28363.64,12000,1.5,7.5,$233.05 ,1,0,0,0,3/31/2020,3/31/2020,0,0,1,74.53,1805832,"24,230",1397,5.8,17.8,49,23478,127.8,1,0,0,0,0,0,2,10/28/2020,3/18/2020,6/5/2020,0,0,0,$8.75 ,$8.75 ,$8.75 ,$8.75 ,$8.75 ,$2.62 ,$8.75 ,1
Wisconsin,WI,55,3/12/2020,0,3/18/2020,0,0,0,3/25/2020,0,5/13/2020,3/25/2020,0,5/11/2020,0,8/1/2020,0,1,0,0,8/1/2020,0,0,1,3/20/2020,0,1,3/18/2020,5/13/2020,0,3/25/2020,5/13/2020,3/25/2020,5/13/2020,3/17/2020,5/13/2020,5/13/2020,5/13/2020,5/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,^,1B,^,1B,1B,1B,^,^,^,0,0,0,0,0,0,3/27/2020,5/26/2020,0,0,0,0,3/27/2020,5/26/2020,0,0,0,0,0,0,3/27/2020,5/26/2020,0,0,0,0,0,0,0,0,0,0,3/22/2020,0,0,0,0,4/1/2020,4/22/2020,2/8/2021,0,1,4/20/2020,0,0,3/17/2020,3/12/2020,1,0,0,1,1,1,1,0,1,1,1,1,3/13/2020,0,0,0,1,0,0,0,0,0,0,0,0,4/21/2020,0,1,1,1,0,0,0,370,970,26,39,5/17/2020,11/7/2020,6.3,185,210,0,0,1890,2,540,0,10500,14000,0,10.7,$285.41 ,0,0,0,0,0,0,0,0,0,88.76,5813568,"65,496",4538,3.2,11,37,53684,200.2,1,1,0,1,0,0,1,10/29/2020,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.33 ,$7.25 ,0
Wyoming,WY,56,3/13/2020,0,3/19/2020,3/19/2020,5/1/2020,0,0,0,0,3/19/2020,12/9/2020,5/1/2020,0,0,0,0,0,0,5/1/2020,3/16/2021,0,1,3/30/2020,0,1,3/19/2020,5/15/2020,0,3/19/2020,5/1/2020,3/19/2020,5/15/2020,3/19/2020,5/15/2020,5/1/2020,5/15/2020,0,1/8/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/3/2020,5/8/2020,3/2/2021,1A,1A,1A,1A,1A,1A,1A,1A,1A,1C,1C,1B,1B,1B,1B,1C,1B,1B,1B,1B,1C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/1/2020,5/16/2020,0,0,0,3/27/2020,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3/18/2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,508,1108,26,39,6/21/2020,9/19/2020,7.1,192,182,0,0,3880,2,1109,0,10500,26400,0,8.5,$422.19 ,0,0,0,0,0,0,0,0,0,5.91,577737,"97,813",548,3.9,11.1,36,5070,343.2,1,1,0,0,0,0,1,0,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that firefighters have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that law enforcement & public safety personnel have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that correctional staff have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that congregate setting residents have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that correctional staff have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that adults ages 75+ have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that adults ages 65+ have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that adults w/ high-risk medical conditions have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that pre-K-12 school employees have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that higher education employees have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that public transit workers have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that food supply workers have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that grocery store workers have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that frontline essential workers have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that additional essential workers have not been designated to any given phase as of the most recent update.,Several states have not yet released COVID-19 vaccine distribution plans past the initial phase. The symbol ^ indicates that the general public has not been designated to any given phase as of the most recent update.,,,,,,,,,,,,"States where courts are open and would hear eviction cases if not for other moratoria have been coded such that the reopening date reflects the date the court actually began hearing eviction cases. Includes NY, OR, VT, KS, KY, WA, LA, ME. In cases where courts are open to some types of evictions but not others (i.e. eviction non-payment of rent), courts have been coded as open.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
